"Kish","204257.8857561369"
"Sei","88661"
"Vmtej","114544.0161317149"
"Xwgaco","187541.218961928"
"Gpjwcr","581580.667675015"
"Yncqgp","562527.301400755"
"Peek","12281.98689422207"
"Ezkxjb","485739.2011896207"
"Qkafzp","31456.2965535471"
"Wsaad","5611"
"Icka","5825"
"Buxcw","28165"
"Hxx","32013"
"Eotair","896465.138754722"
"Lidfu","16047"
"Ypfnck","7597"
"Knn","648044.883758641"
"Swdi","63300"
"Lup","82268.3015686709"
"Ddu","26581"
"Mtfo","35832"
"Asqqa","266341.0411363122"
"Ptvi","323.5401026989891"
"Lis","734146.323352990"
"Tdwfzy","22289"
"Hpfhyq","30763"
"Fxiv","8320"
"Xscie","95081.8295140389"
"Voiv","30728"
"Upui","37974.7238128935"
"Lee","6325.99043620862"
"Woyspl","788"
"Wubv","103411.5652249263"
"Isqz","37944"
"Lhn","605463.764583624"
"Mef","11006.39957904098"
"Bnozl","843684.862471071"
"Zfh","194440.11229664"
"Kxy","239280.8427432013"
"Avfqni","56934"
"Dhojyg","8463"
"Zybjq","68909"
"Wpyu","9722.68681547305"
"Yvn","25770.54154933469"
"Vubv","21080"
"Cndb","4698.22419746853"
"Mjivz","252689.824994129"
"Hev","5632"
"Yzrw","801990.287738227"
"Zua","134397.7085127337"
"Pnxl","447150.126576691"
"Snhne","15737"
"Qxmtqg","15434"
"Saich","8435"
"Ioapdd","11037"
"Shadmg","78812.603233475"
"Yfv","16071"
"Pxuh","12699"
"Pjwv","43147"
"Pywz","1398"
"Kuqg","858424.035106652"
"Rnhke","83827"
"Idsy","39506"
"Fuhol","372"
"Zjfja","207588.959653740"
"Ucbcl","9206.2309972023"
"Htij","26998"
"Ukc","3137"
"Fxae","254025.250152605"
"Wpd","11840"
"Rgxwe","3605"
"Hdzpe","50109.44975280890"
"Eevi","126574.9932881566"
"Nkemez","19534"
"Cfaxph","36305"
"Cxfe","687457.766377449"
"Ofh","537563.809817677"
"Afandt","220977.3208936125"
"Wqze","6715.93348144715"
"Vayz","349672.491261016"
"Zqklat","3732.994713553465"
"Weky","83548.4033901199"
"Ofadb","223759.9349821084"
"Eqhs","13529"
"Bhmo","41220"
"Oyb","103209.3337849490"
"Mqflx","739029.576257855"
"Tchzo","436"
"Pzok","664805.557906850"
"Gyyp","4289"
"Vnre","44007"
"Xqsgb","406786.109787566"
"Nfpmm","34682.5466561026"
"Wez","38605"
"Szjla","1901"
"Manj","4005"
"Dtn","54791"
"Bhi","156967.772776556"
"Ovv","417225.30861400"
"Ybqw","25324"
"Kadk","2087"
"Plui","69445"
"Aqi","767319.335446952"
"Pmiisl","3557"
"Yneyk","32308"
"Gul","302958.851030784"
"Rvaz","622763.502029608"
"Qsnnlo","198325.8477571662"
"Xjo","1801"
"Myh","373801.593009350"
"Afh","213320.0918409473"
"Uvr","570754.303246730"
"Kttfej","17042"
